kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,geometric_eor_window,status,dpss_rank,spectral_window_self_fraction,relative_filter_sensitivity,qbeta_evaluated,relative_qbeta_response,geometric_window_response_fraction,same_cell_response_fraction,window_effective_width_source_bands,exact_broad_candidate,bank_pure_error_percent,bank_total_error_percent,heldout_worst_pure_error_percent,heldout_worst_total_error_percent,heldout_worst_foreground_effect_percent
0,0,0.043669841918153623,0.0,0,outside_eor_window,12,2.345925453103586e-17,0.00027672820604515924,0,,,,,,,,,,
0,1,0.043669841918153623,0.10089144655155463,0,outside_eor_window,12,9.309213181008113e-09,0.041055758845932884,0,,,,,,,,,,
0,2,0.043669841918153623,0.20178289310310926,1,physical_eor_closure_failure,12,0.07535293458038482,0.48238042788143465,1,0.8898898542495852,0.998663012764844,0.07996428048326416,2.8954410360120537,1,38.227673955759805,37.92990820801219,19.223963181351735,19.369637726086218,0.46995902598068723
0,3,0.043669841918153623,0.3026743396546639,1,physical_eor_closure_failure,12,0.38690120930515887,0.9512583742342856,1,0.9017595668217132,0.9990551868833181,0.3598320795358751,4.438344924329321,1,40.88541446394891,40.697976280831085,15.894538083104557,15.745672280209675,0.2452192636614913
0,4,0.043669841918153623,0.4035657862062185,1,physical_eor_closure_failure,12,0.32239858511379677,0.9996009528783523,1,0.9187416659679858,0.9996735552880172,0.30446399262697,5.130158977536234,1,49.14928506960627,49.13744919725869,13.438785880555526,13.469052934794897,0.07639644586579447
0,5,0.043669841918153623,0.5044572327577731,1,physical_eor_closure_failure,12,0.3228965062439791,0.9999610595801655,1,0.9187908834276406,0.9999676045886606,0.28852829658905516,5.219017827488917,1,56.961170549353746,56.961808315358674,15.920290968820877,15.81353963903585,0.12268690729701648
0,6,0.043669841918153623,0.6053486793093278,1,physical_eor_closure_failure,12,0.32293400086218677,0.9999917320098629,1,0.925663902399792,0.9999998078794118,0.29314946304144274,5.169202747271029,1,64.53238456764446,64.53891281650054,18.120541826482164,18.177302063227952,0.13665344336071603
0,7,0.043669841918153623,0.7062401258608824,1,physical_eor_closure_failure,12,0.3229163685829004,0.9999974768978536,1,0.9403393088090491,0.9999999772151701,0.30482613135667025,5.047524015699869,1,66.96792552589189,66.955676923444,21.222032705906376,21.246574565774807,0.13053002409738657
0,8,0.043669841918153623,0.807131572412437,1,physical_eor_closure_failure,12,0.32291388625859696,0.9999990487854626,1,0.926137742424921,0.9999999947137695,0.28200617909592557,5.29027126607071,1,68.69511466066083,68.60238572948764,22.297024292349256,22.266101703083446,0.11915945168673375
0,9,0.043669841918153623,0.9080230189639916,1,physical_eor_closure_failure,12,0.32292091126163763,0.9999995896466677,1,0.9295408075146367,0.9999999983526084,0.29077075865374236,5.254209643163108,1,69.46045076949605,69.41196414510914,21.4645031894204,21.43110107901488,0.2256410897872446
