label,baseline_cell_index,output_band_id,kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,target_windowed_power,pure_eor_signed_error_percent,total_signed_error_percent,foreground_auto_over_target,geometric_window_response_fraction,window_effective_width
dpss_hard_e12_hann,0,109,6,13,0.3395836519008334,1.320497928197488,1.9859717465322976e-05,-7.727233690149898,-7.732521739592686,5.855127343972921e-06,0.9998745008693438,3.0092596187613085
dpss_hard_e12_hann,1,110,6,14,0.3395836519008334,1.422074691904987,1.8033723076932343e-05,-7.6417039523591965,-7.643316578291071,7.114546069361624e-06,0.9944773452292774,3.087078985149862
dpss_hard_e12_hann,2,125,7,13,0.3888796624911983,1.320497928197488,1.9063826206071633e-05,-11.097104452801108,-11.093294598041481,2.6100446616801866e-06,0.99988268979385,3.358579605246868
dpss_hard_e12_hann,3,126,7,14,0.3888796624911983,1.422074691904987,1.6872676325295237e-05,-15.688755153897702,-15.688861098789936,2.9483944521255424e-06,0.9931582085001531,3.287322206429051
dpss_hard_e12_hann,4,141,8,13,0.43817567308156313,1.320497928197488,1.7495144103073943e-05,-7.930979551633649,-7.928314374503927,1.3953877053408064e-06,0.9998710013883284,3.389353919854089
dpss_hard_e12_hann,5,142,8,14,0.43817567308156313,1.422074691904987,1.5870562989099945e-05,-6.535466392916812,-6.537245352557274,1.7120397343355572e-06,0.9898163610410373,3.566765522753108
dpss_hard_e12_hann,6,157,9,13,0.48747168367192806,1.320497928197488,1.6598873031254666e-05,-2.7432701631583485,-2.7459592591545894,9.380778050516055e-07,0.9998657468675269,3.5462803361888735
dpss_hard_e12_hann,7,158,9,14,0.48747168367192806,1.422074691904987,1.5284650310735703e-05,-5.480812263613177,-5.48435074769488,1.1636593167543912e-06,0.9857786939144811,3.534763822582332
dpss_hard_e12_hann,8,173,10,13,0.536767694262293,1.320497928197488,1.5197505505348874e-05,-7.868286555440947,-7.859971418831001,2.472965236919947e-06,0.9998728073117554,3.719883472574893
dpss_hard_e12_hann,9,174,10,14,0.536767694262293,1.422074691904987,1.3879080026739057e-05,-4.453724339487537,-4.449502588977718,2.1889469412894297e-06,0.982368635499593,3.8441214589906205
dpss_hard_e12_hann,10,189,11,13,0.5860637048526578,1.320497928197488,1.417847017345576e-05,2.560522848394398,2.572199886237569,1.8202290895795964e-06,0.9998634235187348,3.9458790245278323
dpss_hard_e12_hann,11,190,11,14,0.5860637048526578,1.422074691904987,1.321048372662123e-05,-1.853910538209631,-1.8449215756490227,2.731256384135845e-06,0.9775319410098385,3.858200552318556
dpss_hard_e12_hann,12,205,12,13,0.6353597154430227,1.320497928197488,1.3277653591491021e-05,0.8121015756062798,0.8139948379818096,1.2810916601175645e-06,0.9998012604804786,4.13317271029851
dpss_hard_e12_hann,13,206,12,14,0.6353597154430227,1.422074691904987,1.2141389996687752e-05,-2.663457469911817,-2.6641337210088203,1.2297620724768646e-06,0.9707782175253573,4.030561664640125
dpss_hard_e12_hann,14,221,13,13,0.6846557260333876,1.320497928197488,1.2316646975165284e-05,-11.4721709391124,-11.471463827583433,7.285459080958662e-08,0.9996473710115102,4.382159740512636
dpss_hard_e12_hann,15,222,13,14,0.6846557260333876,1.422074691904987,1.1395475457985757e-05,-6.037428769949876,-6.038461844183027,8.021871326108399e-08,0.9657139481766308,4.39909084181422
dpss_hard_e12_hann,16,237,14,13,0.7339517366237525,1.320497928197488,1.1619397788337943e-05,1.7808290462046041,1.781526146506399,7.819282187837877e-08,0.9993049198887699,4.725443694480628
dpss_hard_e12_hann,17,238,14,14,0.7339517366237525,1.422074691904987,1.0648030561293863e-05,1.4914660629135137,1.4913786549064256,8.903583400246203e-08,0.9560047882777968,4.762951361787712
