profile,group_index,kperp_first,kperp_stop,kpar_first,kpar_stop,nominal_cell_count,group_mode_count,minimum_input_relative_response,window_fraction,nominal_window_fraction,window_effective_width,bank_total_error_percent,heldout_worst_error_percent,physical_shift_pure_worst_error_percent,physical_shift_total_worst_error_percent,foreground_effect_percent,strict_pass
quad_kperp_response,14,4,8,2,3,4,12112.0,0.8522785090237355,0.9951854936627681,0.0032516188680595096,16.60981725769219,1393420473.6360605,1393481264.517777,nan,nan,1393420463.345863,0
quad_kperp_response,15,4,8,3,4,4,12112.0,0.8672268873265278,0.9965406463941412,0.27279664508404716,16.078901993659173,912724865.5023181,912760778.6337409,nan,nan,912724859.9143647,0
quad_kperp_response,16,4,8,4,5,4,12112.0,0.8737748594906857,0.9984839314281385,0.270304544981145,21.376619627767223,240373819.2178487,240367901.26384902,nan,nan,240373821.4368427,0
quad_kperp_response,17,4,8,5,6,4,12112.0,0.8309709981983684,0.9989777856636927,0.2498563254444654,22.644859352977708,442794159.41621774,442822912.39507496,nan,nan,442794158.06535745,0
quad_kperp_response,18,4,8,6,7,4,12112.0,0.8624738892215468,0.9990194025639962,0.2784900753983981,21.998120445420632,691014239.5004007,691027886.2888068,nan,nan,691014239.8620116,0
quad_kperp_response,19,4,8,7,8,4,12112.0,0.8456297078603393,0.9990279246507644,0.26244037010280385,22.87730590462142,907414507.6156702,907441320.6568439,nan,nan,907414516.4036884,0
quad_kperp_response,20,4,8,8,9,4,12112.0,0.8663686380366716,0.9990348090035085,0.2726480008778972,21.961285833952623,1153362391.6134624,1153352826.274059,nan,nan,1153362400.2328792,0
quad_kperp_response,21,4,8,9,10,4,12112.0,0.8640338342361159,0.9990246788704881,0.2702417721886225,22.15965932783807,1564878905.1839585,1564949447.5797796,nan,nan,1564878920.3896923,0
quad_kperp_response,22,4,8,10,11,4,12112.0,0.8678817411681471,0.9990256405621627,0.2708837305496177,22.265273532310758,2011297194.3818018,2011244438.557866,nan,nan,2011297203.1834376,0
quad_kperp_response,23,4,8,11,12,4,12112.0,0.8532450991206407,0.9990227426144399,0.26542903661998113,22.156095114982566,2274327750.238,2274367160.0370646,nan,nan,2274327760.508741,0
quad_kperp_response,24,4,8,12,13,4,12112.0,0.86071722626844,0.9990296467178919,0.27260678400760385,22.06895762778866,2475188784.2181964,2475178860.2016177,nan,nan,2475188796.2605376,0
quad_kperp_response,25,4,8,13,14,4,12112.0,0.8719708064197831,0.9990326611172705,0.26046054117777623,22.351636993658808,2900958400.017893,2901063522.736683,nan,nan,2900958412.1114097,0
quad_kperp_response,26,4,8,14,15,4,12112.0,0.8577104573505933,0.9990416722801146,0.271945672095292,22.09472310324221,3311667395.501525,3311661946.206768,nan,nan,3311667410.16198,0
quad_kperp_response,27,4,8,15,16,4,12112.0,0.8798066708325682,0.9990497780766008,0.2649893176271525,21.27960592621815,3344393295.2819357,3344294742.787902,nan,nan,3344393304.9911737,0
quad_kperp_response,28,8,12,2,3,2,8856.0,0.8559979420235241,0.9939743468479949,0.002279409312697586,14.034772515208237,1641895969.202948,1641928176.9261246,nan,nan,1641895962.2499523,0
quad_kperp_response,29,8,12,3,4,4,19576.0,0.8347569593830187,0.9940191386876117,0.11104273932232206,20.295532221020316,956245837.9130323,956238863.4171214,nan,nan,956245832.6445305,0
quad_kperp_response,30,8,12,4,5,4,19576.0,0.8665397082121838,0.9969327204338506,0.27802461313949334,21.289456431905503,356802688.2777326,356801744.78265285,nan,nan,356802688.06176406,0
quad_kperp_response,31,8,12,5,6,4,19576.0,0.8676590129805893,0.9987022630940801,0.249221608563699,23.80608487305249,330233117.1772848,330250954.62910783,nan,nan,330233120.38001513,0
