label,directory,foreground_filter,filter_bandwidth_scope,input_frequency_count,analysis_frequency_count,effective_suppression,requested_suppression_strength,dpss_eigenvalue_threshold,spectral_taper,foreground_rank_min,foreground_rank_max,supported_output_band_count,native_selected_window_count,broad_geometric_candidate_count,broad_added_vs_baseline_count,broad_removed_vs_baseline_count,broad_candidates_pure_passing_20pct_count,broad_candidates_total_passing_20pct_count,heldout_broad_total_worst_relative_l2,heldout_broad_total_worst_maximum_error,heldout_broad_total_minimum_passing_20pct_count,common20_pure_relative_l2,common20_total_relative_l2,common20_pure_integrated_ratio,common20_total_integrated_ratio,common20_pure_maximum_absolute_error,common20_total_maximum_absolute_error,common20_foreground_auto_over_target,common20_total_minus_pure_absolute_over_target,common20_median_effective_width,heldout_fg_plus_eor_common20_worst_relative_l2,heldout_fg_plus_eor_common20_worst_maximum_error,heldout_foreground_effect_common20_worst_relative_l2,heldout_foreground_effect_common20_worst_maximum_error,calibration_validation_response_relative_l2
dpss_narrow32_e12_hann,/data1/zhenghao/fg_rmw/runs/visibility_qbeta_wideband_promotion_20260725/dpss_narrow32_e12_hann/combined,dpss_hard,analysis_subband,64,32,hard,10000.0,1e-12,hann,9.0,19.0,112,20,112,0,0,112,112,0.0635106157612234,0.1600114636298478,112,0.05520445810553697,0.05520889030127714,1.0198419964187515,1.0198328648321773,0.09942161561453335,0.09948480667528987,2.2871436630879197e-06,5.8525194608615145e-05,7.762734476199995,0.07475803945968966,0.15657921679230102,0.00010068739378322236,0.00025009548291219925,0.05140055571403
dpss_wide64_to32_e12_hann,/data1/zhenghao/fg_rmw/runs/visibility_qbeta_wideband_promotion_20260725/dpss_wide64_to32_e12_hann/combined,dpss_hard,full_band,64,32,hard,10000.0,1e-12,hann,12.0,30.0,122,20,122,10,0,122,122,0.05477452068952535,0.16971279683822135,122,0.055209077611615955,0.055212788979805985,1.0197681754913746,1.0197596428682019,0.09951018838506406,0.09957655902900084,2.2814788743504716e-06,5.794534829927808e-05,7.764210920843926,0.07476547252322481,0.15681232570971665,0.00010177180954871962,0.0002537952589961519,0.05114382878703793
