label,output_band_id,kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,in_baseline_broad_support,added_vs_baseline_broad_support,target_windowed_power,bank_pure_signed_error_percent,bank_total_signed_error_percent,foreground_auto_over_target,heldout_phase_count,heldout_passing_20pct_phase_count,heldout_worst_total_error_percent,heldout_worst_foreground_effect_percent,geometric_window_response_fraction,relative_response,window_effective_width
dpss_narrow32_e12_hann,100,6,4,0.33851588165712254,0.4035657862062185,1,0,0.00014131841469877494,-1.149039996106316,-1.1908756972531507,0.0008979318288388724,16,16,10.252194803515556,0.5879655493858056,0.999891110743222,0.9591605599470575,6.886230512095953
dpss_narrow32_e12_hann,101,6,5,0.33851588165712254,0.5044572327577731,1,0,0.00012871219520762395,-3.093588811812593,-3.1201676492886876,0.0001830371858856143,16,16,13.086888405282432,0.23527631128708593,0.9999450988971939,0.9649009251625547,6.107306460342864
dpss_narrow32_e12_hann,102,6,6,0.33851588165712254,0.6053486793093278,1,0,8.903113479033349e-05,-4.306188134149475,-4.298703951116589,1.0204769299818353e-05,16,16,6.092673223612389,0.05570856951618065,0.9999966291281872,0.9699982484334205,6.2874489305395205
dpss_narrow32_e12_hann,103,6,7,0.33851588165712254,0.7062401258608824,1,0,6.238963656871258e-05,1.943113025320673,1.9480127300726977,2.5877015243944783e-06,16,16,10.628404598522597,0.011582096690810256,0.9999998179094495,0.9593105515356867,6.436441467041458
dpss_narrow32_e12_hann,104,6,8,0.33851588165712254,0.807131572412437,1,0,4.6016226753854166e-05,-2.542273823183479,-2.5399959346226337,4.133317633892901e-06,16,16,10.389598849060345,0.030042915010605263,0.9999999705192778,0.9606406668443926,6.385367616818774
dpss_narrow32_e12_hann,105,6,9,0.33851588165712254,0.9080230189639916,1,0,3.613658663783717e-05,-0.17521304868552487,-0.18201877884810388,4.372318662882316e-06,16,16,8.164790012542978,0.02249701829958236,0.9999999943571755,0.9729886217184094,6.257684000529895
dpss_narrow32_e12_hann,106,6,10,0.33851588165712254,1.0089144655155462,1,0,2.907560748442238e-05,-1.530597206213324,-1.5332773414103629,5.814302425906088e-06,16,16,7.9879592461792495,0.015550698495773318,0.9999999986887775,0.9679824474416172,6.381279315792798
dpss_narrow32_e12_hann,107,6,11,0.33851588165712254,1.109805912067101,1,0,2.4155691633303216e-05,-7.974628699925,-7.96397809840005,7.523583740181947e-06,16,16,7.839732556317173,0.026624163993567124,0.9999999996059922,0.9673342526663274,6.395836076290435
dpss_narrow32_e12_hann,108,6,12,0.33851588165712254,1.2106973586186556,1,0,2.0693087869213357e-05,-2.275697692989761,-2.2854275752734496,7.453547418696416e-06,16,16,7.406447892274741,0.020792060841954244,0.9999999998409805,0.9619248191850105,6.32549173018284
dpss_narrow32_e12_hann,109,6,13,0.33851588165712254,1.31158880517021,1,0,1.7909419802874572e-05,-4.087650157271916,-4.104559336818148,7.992244360096482e-06,16,16,11.164032654103911,0.0203701729114055,0.9999999999228354,0.9572802284136857,6.338593038171477
dpss_narrow32_e12_hann,110,6,14,0.33851588165712254,1.4124802517217647,1,0,1.61699770469278e-05,-9.942161561453334,-9.948480667528987,8.339980009717435e-06,16,16,15.657921679230103,0.025009548291219926,0.9999999999608915,0.9729139046496391,6.323004214448713
dpss_narrow32_e12_hann,111,6,15,0.33851588165712254,1.5133716982733196,1,0,1.522137833334622e-05,-11.050299488997126,-11.05027893331103,8.261246796634642e-06,16,16,9.835315874738654,0.03635466814883816,0.9999999999786713,0.9805697118478488,5.959978322188255
dpss_narrow32_e12_hann,116,7,4,0.387656888280284,0.4035657862062185,1,0,9.931397581432969e-05,-1.3063067226976761,-1.3196349382759334,1.0181981745014188e-05,16,16,9.061172596732504,0.03966779792977819,0.9999406239846478,0.9649227848109115,8.517256724706304
dpss_narrow32_e12_hann,117,7,5,0.387656888280284,0.5044572327577731,1,0,9.899700804578642e-05,3.3510826668660028,3.335091061038241,4.167050829028466e-06,16,16,12.870554632071832,0.019305369035274522,0.9999614708969021,0.9628553232013274,6.65033409532247
dpss_narrow32_e12_hann,118,7,6,0.387656888280284,0.6053486793093278,1,0,7.786314907905879e-05,4.494782201149131,4.490638697139823,4.395248564244057e-07,16,16,12.077429167703574,0.008245896848170437,0.9999941637051628,0.971813484878754,6.953258926926649
dpss_narrow32_e12_hann,119,7,7,0.387656888280284,0.7062401258608824,1,0,5.6749726361192766e-05,-6.554139601464612,-6.550469615538225,4.411539518081174e-07,16,16,10.490053064381774,0.006509366180252524,0.9999998551631699,0.9785862653054547,6.75161521565724
dpss_narrow32_e12_hann,120,7,8,0.387656888280284,0.807131572412437,1,0,4.254073043315852e-05,-2.1974802551704777,-2.1949701461466087,5.302891789293499e-07,16,16,7.728783006203413,0.00818160690441361,0.9999999873675364,0.9721205181813449,6.746547598430642
dpss_narrow32_e12_hann,121,7,9,0.387656888280284,0.9080230189639916,1,0,3.2904676142453586e-05,5.504358263939546,5.508112768197447,9.5887709493152e-07,16,16,6.896372242745009,0.012735719822800367,0.9999999964613204,0.9575945365427495,6.872017529271054
dpss_narrow32_e12_hann,122,7,10,0.387656888280284,1.0089144655155462,1,0,2.620342328479368e-05,-2.812683531507179,-2.8160944361308093,1.573439244413655e-06,16,16,12.37058862487939,0.012724502781774904,0.9999999982336951,0.9633352623534837,6.803571644878324
dpss_narrow32_e12_hann,123,7,11,0.387656888280284,1.109805912067101,1,0,2.1925311556089593e-05,-8.628594747733661,-8.62229168093116,2.8431055457578895e-06,16,16,7.0419989353921935,0.011832265675328796,0.9999999991163123,0.9679108374214487,6.843383076808244
dpss_narrow32_e12_hann,124,7,12,0.387656888280284,1.2106973586186556,1,0,1.909957914697666e-05,-7.397533209248954,-7.382242011126437,2.5289972037695557e-06,16,16,7.836596374482603,0.013623722109771814,0.9999999995925377,0.9846069603308644,6.689043707263885
dpss_narrow32_e12_hann,125,7,13,0.387656888280284,1.31158880517021,1,0,1.6929356952645183e-05,-2.19799369625132,-2.185589665777887,1.7986125970256656e-06,16,16,7.734150684146049,0.01784631079957695,0.9999999998236292,0.9889060017826834,6.774006937361093
dpss_narrow32_e12_hann,126,7,14,0.387656888280284,1.4124802517217647,1,0,1.5185865677091647e-05,-0.09228922985448205,-0.08697954569294868,1.595326234727963e-06,16,16,8.269945066401357,0.010784096325857693,0.9999999999310888,0.9800014455617726,6.672464605457917
dpss_narrow32_e12_hann,127,7,15,0.387656888280284,1.5133716982733196,1,0,1.414930216569036e-05,-8.571126663090325,-8.570889987310592,2.5680894500875367e-06,16,16,11.71638237911009,0.018841777849005058,0.9999999999783713,0.9889982753899823,6.1947733567603525
dpss_narrow32_e12_hann,133,8,5,0.43679789490344545,0.5044572327577731,1,0,8.710048172692037e-05,4.78779439135347,4.816431620517262,3.1374441705864527e-05,16,16,14.73442971732912,0.11689229072701125,0.9999540662075044,0.9592676390849524,6.695838205760296
dpss_narrow32_e12_hann,134,8,6,0.43679789490344545,0.6053486793093278,1,0,6.969171722664112e-05,2.6494447741481215,2.652185411154439,8.269196258967834e-07,16,16,10.76487009927637,0.011611510145417014,0.999992206394844,0.9555993225981186,6.9359659122213735
dpss_narrow32_e12_hann,135,8,7,0.43679789490344545,0.7062401258608824,1,0,5.1024085177749346e-05,-1.617302323442722,-1.611273345250198,1.5879818056850502e-06,16,16,10.21147640550494,0.025052461915589068,0.9999998440320189,0.9651560515365131,6.746525295932972
dpss_narrow32_e12_hann,136,8,8,0.43679789490344545,0.807131572412437,1,0,3.9060979032953255e-05,0.4040284680737296,0.4058683977013308,1.233401521814718e-06,16,16,9.534468745474989,0.020363667295614056,0.9999999858580134,0.9755172907306029,6.542286420829675
dpss_narrow32_e12_hann,137,8,9,0.43679789490344545,0.9080230189639916,1,0,3.068952763425262e-05,4.906789521100211,4.911006123765763,1.603168898271595e-06,16,16,7.765303257457011,0.011420029593313735,0.9999999957190159,0.9596220421269938,6.725552997460175
dpss_narrow32_e12_hann,138,8,10,0.43679789490344545,1.0089144655155462,1,0,2.4706091399576577e-05,8.036374605238187,8.029874457202116,1.3540551018819571e-06,16,16,8.48838489747979,0.011161189607016455,0.9999999979028066,0.9572415372005546,6.689573814176763
dpss_narrow32_e12_hann,139,8,11,0.43679789490344545,1.109805912067101,1,0,2.0829228297331015e-05,5.70214142473532,5.695484481372203,1.699606767320418e-06,16,16,11.245901869126396,0.014486127922737894,0.9999999989950484,0.9697067425791333,6.668860193910889
dpss_narrow32_e12_hann,140,8,12,0.43679789490344545,1.2106973586186556,1,0,1.7982942175599608e-05,-6.656782823020701,-6.6553459561326695,1.917460672062924e-06,16,16,13.961102550806295,0.013556990350058017,0.9999999995492551,0.9875925957402605,6.671112185593591
dpss_narrow32_e12_hann,141,8,13,0.43679789490344545,1.31158880517021,1,0,1.568417821805351e-05,0.4870201422998666,0.48988544857066624,1.8472945523780912e-06,16,16,9.946412060966994,0.012459674977459463,0.999999999809058,0.9922559509076712,6.581230798208812
dpss_narrow32_e12_hann,142,8,14,0.43679789490344545,1.4124802517217647,1,0,1.4285624928922114e-05,2.765925303181904,2.757634970088382,2.6864844027568273e-06,16,16,13.01197266107981,0.016849830540355624,0.9999999999268989,0.9809127816667604,6.8016481668260225
dpss_narrow32_e12_hann,143,8,15,0.43679789490344545,1.5133716982733196,1,0,1.356510253146899e-05,5.2351623573382495,5.224138700474845,2.5047106212667766e-06,16,16,12.212847529942435,0.0146944786041145,0.9999999999779488,0.9838315500760476,6.191132636081079
