label,baseline_cell_index,output_band_id,kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,target_windowed_power,pure_eor_signed_error_percent,total_signed_error_percent,foreground_auto_over_target,geometric_window_response_fraction,window_effective_width
dpss_narrow32_e12_hann,0,109,6,13,0.33851588165712254,1.31158880517021,1.7909419802874572e-05,-4.087650157271916,-4.104559336818148,7.992244360096482e-06,0.9999999999228354,6.338593038171477
dpss_narrow32_e12_hann,1,110,6,14,0.33851588165712254,1.4124802517217647,1.61699770469278e-05,-9.942161561453334,-9.948480667528987,8.339980009717435e-06,0.9999999999608915,6.323004214448713
dpss_narrow32_e12_hann,2,125,7,13,0.387656888280284,1.31158880517021,1.6929356952645183e-05,-2.1979936962513205,-2.185589665777887,1.7986125970256656e-06,0.9999999998236292,6.774006937361093
dpss_narrow32_e12_hann,3,126,7,14,0.387656888280284,1.4124802517217647,1.5185865677091647e-05,-0.09228922985448205,-0.08697954569294868,1.595326234727963e-06,0.9999999999310888,6.672464605457917
dpss_narrow32_e12_hann,4,141,8,13,0.43679789490344545,1.31158880517021,1.568417821805351e-05,0.48702014229986657,0.48988544857066624,1.8472945523780912e-06,0.999999999809058,6.581230798208812
dpss_narrow32_e12_hann,5,142,8,14,0.43679789490344545,1.4124802517217647,1.4285624928922114e-05,2.765925303181904,2.757634970088382,2.6864844027568273e-06,0.9999999999268989,6.8016481668260225
dpss_narrow32_e12_hann,6,157,9,13,0.48593890152660696,1.31158880517021,1.4863212096827677e-05,8.2382415575831,8.232566274139257,6.673127092862318e-07,0.9999999997758849,7.4081067880588245
dpss_narrow32_e12_hann,7,158,9,14,0.48593890152660696,1.4124802517217647,1.3574613766828738e-05,-4.291390090123608,-4.296218763643398,8.935608087887064e-07,0.9999999999163406,7.360683487258649
dpss_narrow32_e12_hann,8,173,10,13,0.5350799081497685,1.31158880517021,1.3848514025171078e-05,2.0568673995483806,2.06243318770091,3.0780861668239392e-06,0.9999999998651679,7.465696810346685
dpss_narrow32_e12_hann,9,174,10,14,0.5350799081497685,1.4124802517217647,1.2654291402432648e-05,5.768564957744402,5.770392369024624,3.52681454203673e-06,0.9999999999567588,7.577023917028832
dpss_narrow32_e12_hann,10,189,11,13,0.5842209147729299,1.31158880517021,1.3121593247264614e-05,9.283401224476616,9.270868952146857,2.1919195471997244e-06,0.9999999998498014,8.00704645826376
dpss_narrow32_e12_hann,11,190,11,14,0.5842209147729299,1.4124802517217647,1.2095406427574476e-05,5.415508336815974,5.415984369521473,2.359831270219373e-06,0.999999999952473,8.12040419173841
dpss_narrow32_e12_hann,12,205,12,13,0.6333619213960914,1.31158880517021,1.2180954074750342e-05,7.529958444213593,7.53354419574462,6.013513437799366e-07,0.9999999998218532,8.046228646086004
dpss_narrow32_e12_hann,13,206,12,14,0.6333619213960914,1.4124802517217647,1.1123755038471397e-05,-0.1482294974383048,-0.14616932939600086,8.259926782597236e-07,0.9999999999437955,7.948445035371157
dpss_narrow32_e12_hann,14,221,13,13,0.6825029280192529,1.31158880517021,1.139254161245753e-05,3.0643569730367837,3.0624131514406963,1.0484364924402463e-07,0.999999999643675,8.734226022042442
dpss_narrow32_e12_hann,15,222,13,14,0.6825029280192529,1.4124802517217647,1.0484733374417282e-05,4.919674033663717,4.917481352005268,1.0477714260046326e-07,0.9999999997984795,8.703666219163454
dpss_narrow32_e12_hann,16,237,14,13,0.7316439346424144,1.31158880517021,1.073794573699189e-05,9.661659258329962,9.662320501494353,9.179776877254126e-08,0.9999999994630563,9.468095158448772
dpss_narrow32_e12_hann,17,238,14,14,0.7316439346424144,1.4124802517217647,9.778771518030073e-06,6.754791652407553,6.7540937958273926,9.837240256522014e-08,0.999999999694708,9.378494617359037
dpss_narrow32_e12_hann,18,253,15,13,0.7807849412655758,1.31158880517021,9.917995108419862e-06,-0.5943567385505418,-0.5875616798832719,7.613515806460712e-07,0.9999999991358891,10.085515336500475
dpss_narrow32_e12_hann,19,254,15,14,0.7807849412655758,1.4124802517217647,9.086202791587753e-06,5.676435337708762,5.682769267451324,4.800660407253314e-07,0.9999999995078491,10.11172381046002
dpss_wide64_to32_e12_hann,0,109,6,13,0.33851588165712254,1.31158880517021,1.79095722827907e-05,-4.156135361530774,-4.1718859026940445,7.977218354567046e-06,0.9999999999507936,6.3409093248114194
