profile,group_index,kperp_first,kperp_stop,kpar_first,kpar_stop,nominal_cell_count,group_mode_count,minimum_input_relative_response,window_fraction,nominal_window_fraction,window_effective_width,bank_total_error_percent,heldout_worst_error_percent,physical_shift_pure_worst_error_percent,physical_shift_total_worst_error_percent,foreground_effect_percent,strict_pass
quad_kperp_response,14,4,8,2,3,4,12112.0,0.8937622414696769,0.9996364731653692,0.004010620260322809,13.838517039562872,2.306573294834218,6.383304954340904,nan,nan,0.005670925355849961,1
quad_kperp_response,15,4,8,3,4,4,12112.0,0.8994935812412899,0.9996860036545483,0.309720645715296,13.839313234423248,2.4073609043437445,8.169466799145601,nan,nan,0.006535859988794632,1
quad_kperp_response,16,4,8,4,5,4,12112.0,0.9228111607269199,0.9998475463232664,0.2948111078118149,18.839488773627586,3.5374185997328347,6.488968172685865,nan,nan,0.006686866341687204,1
quad_kperp_response,17,4,8,5,6,4,12112.0,0.9266125707888574,0.9999751134079646,0.28981473716318723,19.606963430701676,2.8071989120606418,8.42290906594474,nan,nan,0.0025381057970706197,1
quad_kperp_response,18,4,8,6,7,4,12112.0,0.9322899897935509,0.9999993038319294,0.29691435350122786,19.395007646215532,6.211148506415079,4.667105759606198,nan,nan,0.00326744549011154,1
quad_kperp_response,19,4,8,7,8,4,12112.0,0.928360584072249,0.9999999836166283,0.2865762532681525,19.76295119372774,6.845640188301259,4.981795407373417,nan,nan,0.003545154224794658,1
quad_kperp_response,20,4,8,8,9,4,12112.0,0.9272774544475342,0.9999999975470304,0.2915209319377303,19.44737877252077,7.360460743565955,7.7190729627489825,nan,nan,0.0031479255791485236,1
quad_kperp_response,21,4,8,9,10,4,12112.0,0.9380906846594149,0.9999999993704036,0.2860852582973265,19.687587840999697,5.363793860073129,5.785163838188895,nan,nan,0.0009150233288566283,1
quad_kperp_response,22,4,8,10,11,4,12112.0,0.9220443860375649,0.9999999997878221,0.2907217779070908,19.46140913489991,4.613865605488936,7.82331521158228,nan,nan,0.0016961300448464945,1
quad_kperp_response,23,4,8,11,12,4,12112.0,0.9264303453869406,0.999999999914771,0.28693654670473556,19.51341470476923,9.372092648299487,8.12847758846933,nan,nan,0.006848273362000952,1
quad_kperp_response,24,4,8,12,13,4,12112.0,0.9337112812738134,0.9999999999617818,0.29519564612633054,19.429714085904006,8.739616155218416,8.890493238620694,nan,nan,0.005774689027955764,1
quad_kperp_response,25,4,8,13,14,4,12112.0,0.9214585279110821,0.9999999999815967,0.2911274822759992,19.734734383292516,7.9082779037976945,5.274708173311203,nan,nan,0.0029256754809435276,1
quad_kperp_response,26,4,8,14,15,4,12112.0,0.9048274157199513,0.9999999999906339,0.2940307302318164,19.526549935204486,5.293402331466666,8.012016313404516,nan,nan,0.0022219854095998893,1
quad_kperp_response,27,4,8,15,16,4,12112.0,0.9051766566204195,0.999999999994634,0.29314387936665764,18.76088111373461,6.8364420991253505,9.845525446720616,nan,nan,0.008874592726172352,1
quad_kperp_response,28,8,12,2,3,2,8856.0,0.882483537586214,0.999676895763816,0.0005696053953096411,12.082778795310977,10.492268476833438,17.48550797913625,nan,nan,0.0031046724534200243,1
quad_kperp_response,29,8,12,3,4,4,19576.0,0.8932630908926198,0.9996399792839327,0.11541004322305022,17.620700458254223,6.993906753870325,11.365860631307914,nan,nan,0.007661463340530585,1
quad_kperp_response,30,8,12,4,5,4,19576.0,0.9077011869671873,0.9997878979461173,0.29820293127904496,19.410586705302013,7.1782106970831645,8.178390856160817,nan,nan,0.008910154974740027,1
quad_kperp_response,31,8,12,5,6,4,19576.0,0.8903714654440137,0.9999480006253787,0.2613108632967209,21.974650979716277,6.632126187151267,8.850771971775139,nan,nan,0.002041333719729801,1
quad_kperp_response,32,8,12,6,7,4,19576.0,0.9134022862186124,0.9999967254193969,0.24743780359046114,22.302713732649593,4.6816674127315165,9.433274314592428,nan,nan,0.0032918607019073692,1
quad_kperp_response,33,8,12,7,8,4,19576.0,0.9472957397316105,0.999999971708307,0.2594838554033237,21.872515324146704,3.766373558065983,6.96329564123909,nan,nan,0.0007542560955429024,1
quad_kperp_response,34,8,12,8,9,4,19576.0,0.9357581274302801,0.9999999966485649,0.26264749826308553,21.99898450442088,3.403247540780708,5.155176171470643,nan,nan,0.006975650660137008,1
quad_kperp_response,35,8,12,9,10,4,19576.0,0.9333660810829223,0.9999999992680317,0.2693733795118845,21.784570654641218,3.47837098726814,3.944976488379509,nan,nan,0.005560279240182799,1
quad_kperp_response,36,8,12,10,11,4,19576.0,0.9271106113045904,0.9999999997795002,0.25975208343454453,22.16552991714402,2.292730394227786,5.798905138935005,nan,nan,0.0012344079533906554,1
quad_kperp_response,37,8,12,11,12,4,19576.0,0.9098145879082304,0.9999999999213246,0.26548653532239863,21.757926026281332,2.9591997672743733,6.477985529946016,nan,nan,0.005888513088980889,1
quad_kperp_response,38,8,12,12,13,4,19576.0,0.9240048723293902,0.9999999999683847,0.26188499309255175,22.010296956568574,1.443017949934056,5.641132782506675,nan,nan,0.0012594897027101875,1
quad_kperp_response,39,8,12,13,14,4,19576.0,0.9354763203987434,0.9999999999857654,0.2587674460734193,22.0648991967609,2.9330251971063586,4.529300260196362,nan,nan,0.0031193161246571613,1
quad_kperp_response,40,8,12,14,15,4,19576.0,0.9421500514967915,0.9999999999929724,0.25709607609058466,22.0018439795558,5.607971832642625,8.522745509205116,nan,nan,0.002442590521910592,1
quad_kperp_response,41,8,12,15,16,4,19576.0,0.9122420314428922,0.9999999999957871,0.2646119877020456,20.432997744207665,15.037552418550435,7.461085452147628,nan,nan,0.007517547474436511,1
quad_kperp_response,42,12,16,3,4,4,27256.0,0.9146301583931156,0.9981505919777383,0.0533553315011829,24.422579648946176,6.240151399551082,6.785541500019014,nan,nan,0.0030862382941717064,1
quad_kperp_response,43,12,16,4,5,4,27256.0,0.9029095659064996,0.998864223328281,0.23341603360747734,21.96217814914825,7.972175523200599,5.789582584565702,nan,nan,0.0036334011036689624,1
quad_kperp_response,44,12,16,5,6,4,27256.0,0.8635309950689147,0.999700525478329,0.23425856013687824,24.534557531847586,8.481670658697087,6.668882398940338,nan,nan,0.0045203911718145985,1
quad_kperp_response,45,12,16,6,7,4,27256.0,0.8994544973770309,0.9999860807622781,0.2252360460225027,25.4274835789781,8.647514709455322,6.173931542406,nan,nan,0.0006879174969265243,1
quad_kperp_response,46,12,16,7,8,4,27256.0,0.8973818624223749,0.9999997023486753,0.23017077665332386,25.21396891421227,5.404758111825362,6.191528808143794,nan,nan,0.00011023644808027805,1
quad_kperp_response,47,12,16,8,9,4,27256.0,0.9188134555036437,0.999999979378425,0.23339314184149795,25.067632705047146,7.155675232795282,5.125469243226227,nan,nan,0.0002181659477786845,1
quad_kperp_response,48,12,16,9,10,4,27256.0,0.9123276351586442,0.999999995310678,0.2295481728656589,25.246305210736885,10.141909051023704,7.563942861379688,nan,nan,0.00047907933090832975,1
quad_kperp_response,49,12,16,10,11,4,27256.0,0.9069946687967032,0.9999999985126609,0.2387291079009562,24.940149962627416,5.837937461777422,3.617198017276312,nan,nan,0.0007142456382498172,1
quad_kperp_response,50,12,16,11,12,4,27256.0,0.9179959278743873,0.9999999994180149,0.23021597709473135,25.26025359778997,7.54854318455168,4.969628886048749,nan,nan,0.0015436049662001395,1
quad_kperp_response,51,12,16,12,13,4,27256.0,0.9109225549629522,0.9999999997388955,0.22032021955211406,25.398180546453947,8.650213446325496,3.8576663571954306,nan,nan,0.0008156570121097985,1
quad_kperp_response,52,12,16,13,14,4,27256.0,0.9267755472336954,0.9999999998743054,0.2305436393368752,24.888214126514285,5.772632526145557,7.429697370334226,nan,nan,0.002171514409796833,1
quad_kperp_response,53,12,16,14,15,4,27256.0,0.8927272420932397,0.9999999999315952,0.2239959236702645,25.129186555830294,6.054931648236944,8.010794962301551,nan,nan,0.00047842520958945645,1
quad_kperp_response,54,12,16,15,16,4,27256.0,0.9366657032985982,0.9999999999570451,0.2399724923342321,21.641097289160726,5.517605152680604,10.3855379258218,nan,nan,0.0013439456766431352,1
quad_kperp_response,55,16,20,3,4,3,25304.0,0.923153447687141,0.9963334237800306,0.020267649438422086,28.71834370163314,1.1127386552086302,6.9468879645301325,nan,nan,0.019033162275204064,1
quad_kperp_response,56,16,20,4,5,4,34720.0,0.9092370187708881,0.9944533834331669,0.15299005033021287,28.358706762079358,5.195831816606783,5.595321363472512,nan,nan,0.011765977619476465,1
quad_kperp_response,57,16,20,5,6,4,34720.0,0.9201166920387394,0.9974808233404494,0.1990063170167969,28.184678627918615,5.9737350251891685,6.602766557962651,nan,nan,0.0018710435818385218,1
quad_kperp_response,58,16,20,6,7,4,34720.0,0.9202224532407277,0.9997649112652791,0.19237395298331764,29.628157932265953,6.895220265897387,6.817737851146603,nan,nan,0.002771633231511077,1
quad_kperp_response,59,16,20,7,8,4,34720.0,0.905995641037158,0.9999963819827771,0.19815523111253022,29.708036869815935,9.722892063390216,8.183407069885371,nan,nan,0.0015181676328154406,1
quad_kperp_response,60,16,20,8,9,4,34720.0,0.9310246279039097,0.9999998472402083,0.18911121994026903,29.642150271093257,10.790458799302506,6.761955562823651,nan,nan,0.002425415410567799,1
quad_kperp_response,61,16,20,9,10,4,34720.0,0.9381483268406049,0.9999999775661742,0.20295973278938195,29.24911981766394,9.093452668235486,7.340007501348446,nan,nan,0.0027229898317616204,1
quad_kperp_response,62,16,20,10,11,4,34720.0,0.9312621539517822,0.9999999949424653,0.1912353908773002,29.69427485217593,14.51495659466118,9.936601594521303,nan,nan,0.0011366999953035827,1
quad_kperp_response,63,16,20,11,12,4,34720.0,0.9276308909247793,0.9999999985992691,0.19524234091119155,29.771083542905814,12.252366762581623,5.8517067539878695,nan,nan,0.0017748990524231495,1
quad_kperp_response,64,16,20,12,13,4,34720.0,0.9201812004701397,0.9999999995535737,0.1903171389695113,29.959548766893285,7.2270409352137825,5.367969640658797,nan,nan,0.004087785782745139,1
quad_kperp_response,65,16,20,13,14,4,34720.0,0.8788790052158029,0.9999999998437132,0.192527275815387,30.037922910217787,6.907072922925655,5.832449310801937,nan,nan,0.0012509788608121527,1
quad_kperp_response,66,16,20,14,15,4,34720.0,0.9251859154359039,0.9999999999424269,0.1956597831360754,29.713650494598465,8.609571091476363,4.45253686511196,nan,nan,0.0010499251804608665,1
quad_kperp_response,67,16,20,15,16,4,34720.0,0.9083948065654162,0.9999999999759305,0.2166205040831861,24.32940807035846,4.839048749020023,6.009031472632372,nan,nan,0.00032591604456039865,1
