label,baseline_cell_index,output_band_id,kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,target_windowed_power,pure_eor_signed_error_percent,total_signed_error_percent,foreground_auto_over_target,geometric_window_response_fraction,window_effective_width
dpss_hard_e12_hann,0,109,6,13,0.3395836519008334,1.320497928197488,1.9859717465322976e-05,-7.727233690149898,-7.732521739592686,5.855127343972921e-06,0.9998745008693438,3.0092596187613085
dpss_hard_e12_hann,1,110,6,14,0.3395836519008334,1.422074691904987,1.8033723076932343e-05,-7.6417039523591965,-7.643316578291071,7.114546069361624e-06,0.9944773452292774,3.087078985149862
dpss_hard_e12_hann,2,125,7,13,0.3888796624911983,1.320497928197488,1.9063826206071633e-05,-11.097104452801108,-11.093294598041481,2.6100446616801866e-06,0.99988268979385,3.358579605246868
dpss_hard_e12_hann,3,126,7,14,0.3888796624911983,1.422074691904987,1.6872676325295237e-05,-15.688755153897702,-15.688861098789936,2.9483944521255424e-06,0.9931582085001531,3.287322206429051
dpss_hard_e12_hann,4,141,8,13,0.43817567308156313,1.320497928197488,1.7495144103073943e-05,-7.930979551633649,-7.928314374503927,1.3953877053408064e-06,0.9998710013883284,3.389353919854089
dpss_hard_e12_hann,5,142,8,14,0.43817567308156313,1.422074691904987,1.5870562989099945e-05,-6.535466392916812,-6.537245352557274,1.7120397343355572e-06,0.9898163610410373,3.566765522753108
dpss_hard_e12_hann,6,157,9,13,0.48747168367192806,1.320497928197488,1.6598873031254666e-05,-2.7432701631583485,-2.7459592591545894,9.380778050516055e-07,0.9998657468675269,3.5462803361888735
dpss_hard_e12_hann,7,158,9,14,0.48747168367192806,1.422074691904987,1.5284650310735703e-05,-5.480812263613177,-5.48435074769488,1.1636593167543912e-06,0.9857786939144811,3.534763822582332
dpss_hard_e12_hann,8,173,10,13,0.536767694262293,1.320497928197488,1.5197505505348874e-05,-7.868286555440947,-7.859971418831001,2.472965236919947e-06,0.9998728073117554,3.719883472574893
dpss_hard_e12_hann,9,174,10,14,0.536767694262293,1.422074691904987,1.3879080026739057e-05,-4.453724339487537,-4.449502588977718,2.1889469412894297e-06,0.982368635499593,3.8441214589906205
dpss_hard_e12_hann,10,189,11,13,0.5860637048526578,1.320497928197488,1.417847017345576e-05,2.560522848394398,2.572199886237569,1.8202290895795964e-06,0.9998634235187348,3.9458790245278323
dpss_hard_e12_hann,11,190,11,14,0.5860637048526578,1.422074691904987,1.321048372662123e-05,-1.853910538209631,-1.8449215756490227,2.731256384135845e-06,0.9775319410098385,3.858200552318556
dpss_hard_e12_hann,12,205,12,13,0.6353597154430227,1.320497928197488,1.3277653591491021e-05,0.8121015756062798,0.8139948379818096,1.2810916601175645e-06,0.9998012604804786,4.13317271029851
dpss_hard_e12_hann,13,206,12,14,0.6353597154430227,1.422074691904987,1.2141389996687752e-05,-2.663457469911817,-2.6641337210088203,1.2297620724768646e-06,0.9707782175253573,4.030561664640125
dpss_hard_e12_hann,14,221,13,13,0.6846557260333876,1.320497928197488,1.2316646975165284e-05,-11.4721709391124,-11.471463827583433,7.285459080958662e-08,0.9996473710115102,4.382159740512636
dpss_hard_e12_hann,15,222,13,14,0.6846557260333876,1.422074691904987,1.1395475457985757e-05,-6.037428769949876,-6.038461844183027,8.021871326108399e-08,0.9657139481766308,4.39909084181422
dpss_hard_e12_hann,16,237,14,13,0.7339517366237525,1.320497928197488,1.1619397788337943e-05,1.7808290462046041,1.781526146506399,7.819282187837877e-08,0.9993049198887699,4.725443694480628
dpss_hard_e12_hann,17,238,14,14,0.7339517366237525,1.422074691904987,1.0648030561293863e-05,1.4914660629135137,1.4913786549064256,8.903583400246203e-08,0.9560047882777968,4.762951361787712
dpss_hard_e12_hann,18,253,15,13,0.7832477472141173,1.320497928197488,1.0713788431734334e-05,0.6963951047393984,0.6958109020521605,9.257002636682607e-08,0.9988834741427808,4.883921065208625
dpss_hard_e12_hann,19,254,15,14,0.7832477472141173,1.422074691904987,9.815545694277458e-06,-7.839014066078724,-7.840162642190397,1.0366471219906761e-07,0.9515059848132954,4.9969868711523935
none_hann,0,109,6,13,0.3395836519008334,1.320497928197488,1.986014129320393e-05,-7.714906354637583,9517.327627065048,95.20634800151463,0.9998718971455979,3.0107409930203053
none_hann,1,110,6,14,0.3395836519008334,1.422074691904987,1.8033739679637722e-05,-7.674560410459474,2499.585030418562,25.136603938594806,0.994468729331455,3.0882087741876245
none_hann,2,125,7,13,0.3888796624911983,1.320497928197488,1.906388379735049e-05,-11.119643850443298,12149.10669875779,122.02734913716344,0.9998800916254946,3.3598931554816773
none_hann,3,126,7,14,0.3888796624911983,1.422074691904987,1.6872951031769385e-05,-15.655964010740039,4560.0604012408685,45.78607491780799,0.993147021843396,3.2882760484042293
none_hann,4,141,8,13,0.43817567308156313,1.320497928197488,1.749499926747594e-05,-7.8952514059383,15267.406330633254,152.58702464180223,0.9998675472287232,3.3899892488665495
none_hann,5,142,8,14,0.43817567308156313,1.422074691904987,1.5870657567488672e-05,-6.565781005322756,7273.624452335618,72.89079588895846,0.9898001575037855,3.5675423041901557
none_hann,6,157,9,13,0.48747168367192806,1.320497928197488,1.6598818464310753e-05,-2.7338221254248616,21795.346117345154,219.19532402009816,0.9998622280583118,3.5468240864215064
none_hann,7,158,9,14,0.48747168367192806,1.422074691904987,1.5284664514681916e-05,-5.496791856083809,10179.5347459696,101.02226751329133,0.9857585745578687,3.5353981166764643
