profile,group_index,kperp_first,kperp_stop,kpar_first,kpar_stop,nominal_cell_count,group_mode_count,minimum_input_relative_response,window_fraction,nominal_window_fraction,window_effective_width,bank_total_error_percent,heldout_worst_error_percent,physical_shift_pure_worst_error_percent,physical_shift_total_worst_error_percent,foreground_effect_percent,strict_pass
quad_kperp_kpar2_response,15,4,8,2,4,2,5128.0,0.9585357099883308,0.9996550607075432,5.801562148336877e-06,27.13452879355901,21.231704550080956,13.175191885495217,nan,nan,0.049300355433549506,0
quad_kperp_kpar2_response,16,4,8,4,6,8,24224.0,0.9289025039436495,0.9996365821780939,0.046819650408748394,41.21670103942717,17.35717172315521,7.64162962345982,nan,nan,0.00752982110412159,1
quad_kperp_kpar2_response,17,4,8,6,8,8,24224.0,0.9371849407719537,0.9996369178797055,0.3545914770787897,27.286844677187858,18.493729878686796,5.825227864799381,nan,nan,0.007998880062777557,1
quad_kperp_kpar2_response,18,4,8,8,10,8,24224.0,0.9264230713148902,0.9998785439755581,0.35519684133379564,28.327242686716254,16.556967334957413,4.985867749888618,nan,nan,0.0021095131262177298,1
quad_kperp_kpar2_response,19,4,8,10,12,8,24224.0,0.9255254183696341,0.9999913250000699,0.35449085629296806,28.02999527750078,17.69208416822212,3.760928547214485,nan,nan,0.00048446401516990883,1
quad_kperp_kpar2_response,20,4,8,12,14,8,24224.0,0.9304263604048432,0.9999999773748037,0.35690263514730175,28.30379189747082,18.656987564893658,5.115484081717769,nan,nan,0.0024725588985180626,1
quad_kperp_kpar2_response,21,4,8,14,16,8,24224.0,0.9131607171994552,0.9999999981466031,0.3533783434573462,28.090587763949006,16.476874960026127,3.2476167559394997,nan,nan,0.006091514044273608,1
quad_kperp_kpar2_response,22,4,8,16,18,8,24224.0,0.9014441528091167,0.9999999995926998,0.35115300332583743,28.251933748669863,20.043084350247735,4.555850722189389,nan,nan,0.004971388731429857,0
quad_kperp_kpar2_response,23,4,8,18,20,8,24224.0,0.9281339961863058,0.9999999998868121,0.3513338674244307,28.30474007207389,24.719924879976332,5.81308604534483,nan,nan,0.007245071283463725,0
quad_kperp_kpar2_response,24,4,8,20,22,8,24224.0,0.9346368661410068,0.999999999960879,0.35820429480575,28.21334267227975,22.436225877501197,6.222325234018631,nan,nan,0.004891972221495372,0
quad_kperp_kpar2_response,25,4,8,22,24,8,24224.0,0.9293502557731611,0.9999999999844347,0.3553380413065934,28.236842289993604,23.40120358835184,4.041294939459368,nan,nan,0.010178807835417936,0
quad_kperp_kpar2_response,26,4,8,24,26,8,24224.0,0.931638275017555,0.9999999999929412,0.3560276664565738,28.217178514918956,26.369107878624153,4.412376864008348,nan,nan,0.0009472598610423183,0
quad_kperp_kpar2_response,27,4,8,26,28,8,24224.0,0.9309606261901293,0.9999999999966248,0.35774975304949375,28.15073506819464,27.541460537783273,4.3229028694924425,nan,nan,7.069644933344254e-05,0
quad_kperp_kpar2_response,28,4,8,28,30,8,24224.0,0.9022199237955211,0.9999999999982847,0.3506066959392844,28.322309784069073,24.27439546561843,5.341689711240848,nan,nan,0.009015942836946175,0
quad_kperp_kpar2_response,29,4,8,30,32,8,24224.0,0.9272012361284748,0.9999999999990395,0.36363524222870497,26.781404291547407,30.552084151671334,2.9071036973711726,nan,nan,0.009833541233412917,0
quad_kperp_kpar2_response,30,8,12,4,6,6,28432.0,0.911194382839819,0.9995602786052401,0.011604707177445722,58.72610230308141,13.632006394439566,8.066516218652973,nan,nan,0.06613542075344045,1
quad_kperp_kpar2_response,31,8,12,6,8,8,39152.0,0.9068187125524341,0.9995203851071647,0.20686635103017126,42.31369018903956,11.069163603002798,6.282265064792355,nan,nan,0.041366617365260955,1
quad_kperp_kpar2_response,32,8,12,8,10,8,39152.0,0.9115661670338553,0.9997838782838105,0.29269051034590376,36.17170029760244,11.235209887286079,5.756221329260933,nan,nan,0.00392109514944544,1
quad_kperp_kpar2_response,33,8,12,10,12,8,39152.0,0.9249280243067235,0.9999728077793755,0.2995295321640756,35.60298766702623,13.185688909464655,6.13040941677189,nan,nan,0.0007649212959252811,1
quad_kperp_kpar2_response,34,8,12,12,14,8,39152.0,0.9105748994990707,0.9999996324330003,0.2984378302008974,35.672078325534024,11.703733943327384,5.108703188987181,nan,nan,0.00351750087171667,1
quad_kperp_kpar2_response,35,8,12,14,16,8,39152.0,0.9138829708099628,0.9999999936768991,0.2926595220246975,35.99319886105232,8.353187479561337,6.028359511139832,nan,nan,0.0008243523335643102,1
quad_kperp_kpar2_response,36,8,12,16,18,8,39152.0,0.9196165972687237,0.9999999984958092,0.29482881168798136,35.41265504050635,9.895690177597496,5.669216946161759,nan,nan,0.001403570864563956,1
quad_kperp_kpar2_response,37,8,12,18,20,8,39152.0,0.9171743456752852,0.9999999995166166,0.2994515369728459,35.62897786299216,10.177744399316829,4.076766996176443,nan,nan,0.0017677161998974212,1
quad_kperp_kpar2_response,38,8,12,20,22,8,39152.0,0.9114353712245202,0.9999999998271596,0.2993654259196207,35.498489702573835,16.696160170828595,3.7671700761914346,nan,nan,0.003761011973692281,1
quad_kperp_kpar2_response,39,8,12,22,24,8,39152.0,0.910601212806832,0.9999999999329557,0.2962852018081018,35.80203709069125,10.450911970393204,6.319786926747153,nan,nan,0.0009402144235392451,1
quad_kperp_kpar2_response,40,8,12,24,26,8,39152.0,0.9397291463858363,0.9999999999738127,0.2938999215347081,35.5951126536196,14.751108963900775,4.761774956523907,nan,nan,0.004557269361208187,1
