profile,group_index,kperp_first,kperp_stop,kpar_first,kpar_stop,nominal_cell_count,group_mode_count,minimum_input_relative_response,window_fraction,nominal_window_fraction,window_effective_width,bank_total_error_percent,heldout_worst_error_percent,physical_shift_pure_worst_error_percent,physical_shift_total_worst_error_percent,foreground_effect_percent,strict_pass
quad_kperp_response,14,4,8,2,3,4,12112.0,0.8641909351833973,0.9911846209681134,0.004464327593863304,18.712218320125597,3404522635.9296865,3404629348.9054666,nan,nan,3404522628.1249194,0
quad_kperp_response,15,4,8,3,4,4,12112.0,0.8800593890355867,0.9904335712049519,0.25241533987209197,17.856665291174213,2630810471.3932185,2630855644.361265,nan,nan,2630810468.1430364,0
quad_kperp_response,16,4,8,4,5,4,12112.0,0.8876212287480711,0.9904176756609627,0.2621335361928404,23.768858510188377,2611560409.414919,2611567440.8095307,nan,nan,2611560414.222545,0
quad_kperp_response,17,4,8,5,6,4,12112.0,0.8401507276804101,0.9908435368925685,0.2369696188612368,25.657681464435356,5989428746.761436,5989366285.25481,nan,nan,5989428744.89484,0
quad_kperp_response,18,4,8,6,7,4,12112.0,0.8772326573881056,0.9908207023702953,0.2651511470672547,24.7899180498496,7537206761.301359,7537141800.800702,nan,nan,7537206760.126787,0
quad_kperp_response,19,4,8,7,8,4,12112.0,0.8587188221156655,0.9908058477878021,0.2510155006237884,25.671791812795465,8345614914.519482,8345577893.67969,nan,nan,8345614916.16932,0
quad_kperp_response,20,4,8,8,9,4,12112.0,0.8718530551507028,0.991233090000757,0.25937732346982106,24.71501522700115,14055694784.760662,14055412129.913265,nan,nan,14055694780.568493,0
quad_kperp_response,21,4,8,9,10,4,12112.0,0.8765849178836527,0.9907484817676222,0.2573187864840806,24.944499396211988,12272113895.459667,12272102796.737368,nan,nan,12272113907.994703,0
quad_kperp_response,22,4,8,10,11,4,12112.0,0.8759805977769335,0.99096045161943,0.2568910283312124,25.085629642907705,16069893026.53125,16069727756.114588,nan,nan,16069893035.670925,0
quad_kperp_response,23,4,8,11,12,4,12112.0,0.8668590233381973,0.9910458938396838,0.2527282084308857,24.971714776319068,19895902874.07212,19895552364.287914,nan,nan,19895902871.4432,0
quad_kperp_response,24,4,8,12,13,4,12112.0,0.8692585461144269,0.9906697158775336,0.26025603914534945,24.811168799548263,15424710408.780087,15424752893.460506,nan,nan,15424710406.784435,0
quad_kperp_response,25,4,8,13,14,4,12112.0,0.8829968243368645,0.9911724928264013,0.2512141056679838,25.025605240336013,22514654118.032722,22514603483.284973,nan,nan,22514654112.854546,0
quad_kperp_response,26,4,8,14,15,4,12112.0,0.8725151780553816,0.9910739196305617,0.25715370210957633,25.052347660533425,20969787402.00245,20969715449.698227,nan,nan,20969787394.558525,0
quad_kperp_response,27,4,8,15,16,4,12112.0,0.8882118025148307,0.990930105839647,0.2511886215718952,24.294537778396514,18725686023.709286,18725451277.67212,nan,nan,18725686006.985893,0
quad_kperp_response,28,8,12,2,3,2,8856.0,0.8722416347393682,0.9890568756338892,0.003665189481379237,15.390712731066571,2203405677.257012,2203454011.7584424,nan,nan,2203405668.3809423,0
quad_kperp_response,29,8,12,3,4,4,19576.0,0.8500691739981455,0.9865210453271774,0.10362772712773403,22.12097140013555,2018665172.7473645,2018628828.7458367,nan,nan,2018665165.631929,0
quad_kperp_response,30,8,12,4,5,4,19576.0,0.8834854748424736,0.9870951722124017,0.269739138763117,23.4611282165006,2162890028.384063,2162842849.164508,nan,nan,2162890025.763841,0
quad_kperp_response,31,8,12,5,6,4,19576.0,0.8792842941122493,0.9888055685062589,0.23475800070271075,26.944413758338797,2091667183.7112226,2091638426.4771185,nan,nan,2091667184.8417568,0
quad_kperp_response,32,8,12,6,7,4,19576.0,0.894770547849767,0.9883591872290154,0.22515784079432,26.85745646638191,3442770337.6542754,3442771320.2860317,nan,nan,3442770340.559455,0
quad_kperp_response,33,8,12,7,8,4,19576.0,0.8829113217133928,0.9877477371540163,0.2339668351559701,26.85990556233629,5027656548.926785,5027735659.170951,nan,nan,5027656558.726354,0
quad_kperp_response,34,8,12,8,9,4,19576.0,0.886551037045129,0.9893750886463176,0.2350968211348997,26.150105408188487,3855229281.948623,3855274555.156146,nan,nan,3855229284.0609283,0
